university,ref_dept_name,StaffFte,FourStar,ThreeStar,TwoStar,OneStar,Unclassified
Anglia Ruskin University,Allied Health Professions Dentistry Nursing and Pharmacy,11.3,10,72,18,0,0
Anglia Ruskin University,Psychology Psychiatry and Neuroscience,13.7,7,45,30,18,0
Anglia Ruskin University,Biological Sciences,7.25,0,25,39,20,16
Anglia Ruskin University,General Engineering,8,0,34,60,6,0
Anglia Ruskin University,Architecture Built Environment and Planning,8,8,21,45,26,0
Anglia Ruskin University,Geography Environmental Studies and Archaeology,17.5,13,41,43,3,0
Anglia Ruskin University,Business and Management Studies,14.2,6,45,37,9,3
Anglia Ruskin University,Law,10.2,2,26,54,14,4
Anglia Ruskin University,Social Work and Social Policy,14.31,7,21,53,19,0
Anglia Ruskin University,Education,5.2,0,26,45,26,3
Anglia Ruskin University,English Language and Literature,16.8,8,37,45,10,0
Anglia Ruskin University,History,5.5,8,26,44,14,8
Anglia Ruskin University,Art and Design: History Practice and Theory,13.9,4,43,44,9,0
Anglia Ruskin University,Music Drama Dance and Performing Arts,13.8,12,34,32,19,3
Anglia Ruskin University,Communication Cultural and Media Studies Library and Information Management,8.7,12,46,42,0,0
Aston University,Allied Health Professions Dentistry Nursing and Pharmacy,56.8,45,49,5,0,1
Aston University,Computer Science and Informatics,18.2,16,45,39,0,0
Aston University,Electrical and Electronic Engineering Metallurgy and Materials,24,16,55,28,1,0
Aston University,General Engineering,23.63,15,57,24,4,0
Aston University,Business and Management Studies,46.3,30,48,21,1,0
Aston University,Area Studies,12,27,54,19,0,0
Aston University,Modern Languages and Linguistics,18.5,24,38,32,6,0
University of Bath,Allied Health Professions Dentistry Nursing and Pharmacy,54.2,51,40,8,1,0
University of Bath,Biological Sciences,24.5,23,62,14,0,1
University of Bath,Chemistry,33.1,25,73,2,0,0
University of Bath,Physics,23,25,66,9,0,0
University of Bath,Mathematical Sciences,44.4,26,62,10,2,0
University of Bath,Computer Science and Informatics,24,11,71,17,1,0
University of Bath,Aeronautical Mechanical Chemical and Manufacturing Engineering,61,19,70,11,0,0
University of Bath,Electrical and Electronic Engineering Metallurgy and Materials,20.5,13,78,9,0,0
University of Bath,Architecture Built Environment and Planning,28.38,50,40,8,2,0
University of Bath,Business and Management Studies,64.9,41,43,12,3,1
University of Bath,Social Work and Social Policy,35.55,46,34,18,1,1
University of Bath,Sport and Exercise Sciences Leisure and Tourism,22,47,43,10,0,0
University of Bath,Area Studies,26,23,45,23,8,1
Bath Spa University,Education,13.2,5,30,43,19,3
Bath Spa University,English Language and Literature,21.05,15,52,26,4,3
Bath Spa University,History,6.2,2,34,44,20,0
Bath Spa University,Art and Design: History Practice and Theory,14.17,12,35,44,8,1
Bath Spa University,Music Drama Dance and Performing Arts,12,26,32,27,15,0
Bath Spa University,Communication Cultural and Media Studies Library and Information Management,7.4,13,51,28,8,0
University of Bedfordshire,Allied Health Professions Dentistry Nursing and Pharmacy,24.9,24,49,23,3,1
University of Bedfordshire,Earth Systems and Environmental Sciences,4.8,0,15,67,18,0
University of Bedfordshire,Computer Science and Informatics,34.6,5,33,52,10,0
University of Bedfordshire,Business and Management Studies,14,7,30,55,8,0
University of Bedfordshire,Law,5.2,0,25,44,24,7
University of Bedfordshire,Social Work and Social Policy,14.2,30,48,19,3,0
University of Bedfordshire,Education,8.4,12,25,40,23,0
University of Bedfordshire,Sport and Exercise Sciences Leisure and Tourism,19.4,9,32,51,7,1
University of Bedfordshire,English Language and Literature,9,45,33,22,0,0
University of Bedfordshire,Music Drama Dance and Performing Arts,6.8,11,9,40,29,11
University of Bedfordshire,Communication Cultural and Media Studies Library and Information Management,11.5,9,46,36,9,0
Birkbeck College,Psychology Psychiatry and Neuroscience,28.35,60,29,8,2,1
Birkbeck College,Biological Sciences,21.2,46,36,16,1,1
Birkbeck College,Earth Systems and Environmental Sciences,9,34,58,7,1,0
Birkbeck College,Computer Science and Informatics,18.8,21,47,20,12,0
Birkbeck College,Economics and Econometrics,25.15,7,52,36,4,1
Birkbeck College,Business and Management Studies,30.1,10,39,42,9,0
Birkbeck College,Law,27.24,24,49,26,1,0
Birkbeck College,Politics and International Studies,12.8,30,42,24,4,0
Birkbeck College,Sociology,26.25,22,49,28,1,0
Birkbeck College,Modern Languages and Linguistics,25.45,22,51,26,1,0
Birkbeck College,English Language and Literature,33.7,23,52,21,3,1
Birkbeck College,History,35.63,35,50,14,0,1
Birkbeck College,Philosophy,12.3,32,41,27,0,0
Birkbeck College,Art and Design: History Practice and Theory,21.79,24,47,25,4,0
University of Birmingham,Clinical Medicine,164.15,27,53,18,1,1
University of Birmingham,Public Health Health Services and Primary Care,44.7,30,54,14,2,0
University of Birmingham,Allied Health Professions Dentistry Nursing and Pharmacy,15.9,30,69,1,0,0
University of Birmingham,Psychology Psychiatry and Neuroscience,40.8,52,37,11,0,0
University of Birmingham,Biological Sciences,42.8,32,59,7,1,1
University of Birmingham,Earth Systems and Environmental Sciences,28.2,13,80,7,0,0
University of Birmingham,Chemistry,28,11,79,10,0,0
University of Birmingham,Physics,39,23,61,14,2,0
University of Birmingham,Mathematical Sciences,40,15,65,16,0,4
University of Birmingham,Computer Science and Informatics,40.6,29,57,13,0,1
University of Birmingham,Aeronautical Mechanical Chemical and Manufacturing Engineering,32.5,27,60,13,0,0
University of Birmingham,Electrical and Electronic Engineering Metallurgy and Materials,29.1,31,55,9,4,1
University of Birmingham,Civil and Construction Engineering,18.1,7,59,30,4,0
University of Birmingham,Geography Environmental Studies and Archaeology,25,30,46,22,2,0
University of Birmingham,Economics and Econometrics,24.2,10,59,30,1,0
University of Birmingham,Business and Management Studies,53.1,21,47,27,5,0
University of Birmingham,Law,31.79,29,43,24,4,0
University of Birmingham,Politics and International Studies,47.07,24,39,28,9,0
University of Birmingham,Social Work and Social Policy,34.5,23,53,21,2,1
University of Birmingham,Education,23.7,47,35,15,3,0
University of Birmingham,Sport and Exercise Sciences Leisure and Tourism,34.4,55,35,9,1,0
University of Birmingham,Area Studies,7.6,44,49,7,0,0
University of Birmingham,Modern Languages and Linguistics,33.1,16,59,24,1,0
University of Birmingham,English Language and Literature,37.2,34,53,11,2,0
University of Birmingham,History,37.2,45,42,13,0,0
University of Birmingham,Classics,20,38,43,18,1,0
University of Birmingham,Philosophy,14,49,34,15,2,0
University of Birmingham,Theology and Religious Studies,9,51,28,17,4,0
University of Birmingham,Art and Design: History Practice and Theory,6.2,33,49,15,3,0
University of Birmingham,Music Drama Dance and Performing Arts,10.2,38,50,12,0,0
Birmingham City University,Allied Health Professions Dentistry Nursing and Pharmacy,12.1,5,58,28,5,4
Birmingham City University,Computer Science and Informatics,7.4,8,26,36,22,8
Birmingham City University,Architecture Built Environment and Planning,4,14,42,40,4,0
Birmingham City University,Business and Management Studies,4.7,14,29,42,15,0
Birmingham City University,Law,6,0,37,51,12,0
Birmingham City University,Social Work and Social Policy,7.2,0,30,44,24,2
Birmingham City University,Education,7.5,11,28,49,12,0
Birmingham City University,English Language and Literature,12.4,25,52,20,3,0
Birmingham City University,Art and Design: History Practice and Theory,32.13,26,43,25,5,1
Birmingham City University,Music Drama Dance and Performing Arts,17.27,20,49,27,4,0
Birmingham City University,Communication Cultural and Media Studies Library and Information Management,11.21,9,58,22,11,0
Bishop Grosseteste University,Education,6,6,22,35,33,4
Bishop Grosseteste University,English Language and Literature,2,8,16,59,14,3
Bishop Grosseteste University,History,3,6,10,58,23,3
University of Bolton,Psychology Psychiatry and Neuroscience,5.3,3,24,54,17,2
University of Bolton,General Engineering,14,6,48,46,0,0
University of Bolton,Architecture Built Environment and Planning,4.2,3,11,23,47,16
University of Bolton,Social Work and Social Policy,4.1,0,8,33,38,21
University of Bolton,Education,7.4,2,25,54,13,6
University of Bolton,English Language and Literature,6.3,21,19,41,18,1
University of Bolton,Communication Cultural and Media Studies Library and Information Management,7.8,2,13,25,47,13
Arts University Bournemouth,Art and Design: History Practice and Theory,12.1,7,36,38,18,1
Bournemouth University,Allied Health Professions Dentistry Nursing and Pharmacy,21.4,10,44,40,4,2
Bournemouth University,Psychology Psychiatry and Neuroscience,13,7,48,37,8,0
Bournemouth University,General Engineering,24.8,0,37,57,6,0
Bournemouth University,Geography Environmental Studies and Archaeology,29.5,10,47,41,2,0
Bournemouth University,Business and Management Studies,20.5,16,40,37,7,0
Bournemouth University,Sport and Exercise Sciences Leisure and Tourism,14,29,55,16,0,0
Bournemouth University,Art and Design: History Practice and Theory,13.8,32,41,22,5,0
Bournemouth University,Communication Cultural and Media Studies Library and Information Management,24.8,36,40,22,2,0
University of Bradford,Allied Health Professions Dentistry Nursing and Pharmacy,44,30,62,8,0,0
University of Bradford,Aeronautical Mechanical Chemical and Manufacturing Engineering,16.8,9,54,35,1,1
University of Bradford,Civil and Construction Engineering,7.2,14,47,28,3,8
University of Bradford,Geography Environmental Studies and Archaeology,12.8,34,36,30,0,0
University of Bradford,Business and Management Studies,19.2,21,44,32,3,0
University of Bradford,Politics and International Studies,13.4,22,42,22,13,1
University of Bradford,Social Work and Social Policy,10.33,25,39,33,3,0
University of Brighton,Allied Health Professions Dentistry Nursing and Pharmacy,22.5,38,44,16,1,1
University of Brighton,Earth Systems and Environmental Sciences,14.25,4,54,39,3,0
University of Brighton,Computer Science and Informatics,14,6,46,42,6,0
University of Brighton,Aeronautical Mechanical Chemical and Manufacturing Engineering,8.5,7,60,26,7,0
University of Brighton,Business and Management Studies,15.8,28,37,27,7,1
University of Brighton,Social Work and Social Policy,27.1,15,43,31,9,2
University of Brighton,Education,7.3,9,36,48,7,0
University of Brighton,Sport and Exercise Sciences Leisure and Tourism,21.41,23,55,21,1,0
University of Brighton,Art and Design: History Practice and Theory,63.9,30,41,24,4,1
University of Brighton,Communication Cultural and Media Studies Library and Information Management,14.7,27,41,27,5,0
University of Bristol,Clinical Medicine,84.45,31,48,20,1,0
University of Bristol,Public Health Health Services and Primary Care,74.6,50,36,12,2,0
University of Bristol,Allied Health Professions Dentistry Nursing and Pharmacy,16.18,43,37,18,1,1
University of Bristol,Psychology Psychiatry and Neuroscience,68.81,43,37,18,1,1
University of Bristol,Biological Sciences,64.6,33,51,15,0,1
University of Bristol,Agriculture Veterinary and Food Science,34.03,35,53,11,0,1
University of Bristol,Earth Systems and Environmental Sciences,44.28,36,62,2,0,0
University of Bristol,Chemistry,58.6,39,57,4,0,0
University of Bristol,Physics,44.15,23,62,15,0,0
University of Bristol,Mathematical Sciences,83.5,43,44,12,1,0
University of Bristol,Computer Science and Informatics,41.6,31,56,12,1,0
University of Bristol,General Engineering,123.38,38,55,6,1,0
University of Bristol,Geography Environmental Studies and Archaeology,46.45,51,33,14,2,0
University of Bristol,Economics and Econometrics,18.6,44,44,12,0,0
University of Bristol,Business and Management Studies,27.5,24,54,22,0,0
University of Bristol,Law,39,41,44,14,1,0
University of Bristol,Politics and International Studies,25.8,16,44,33,7,0
University of Bristol,Social Work and Social Policy,35.9,38,42,18,2,0
University of Bristol,Sociology,17,32,44,23,1,0
University of Bristol,Education,34.5,44,36,19,1,0
University of Bristol,Sport and Exercise Sciences Leisure and Tourism,7,58,42,0,0,0
University of Bristol,Modern Languages and Linguistics,31.1,29,38,26,7,0
University of Bristol,English Language and Literature,21,11,57,25,7,0
University of Bristol,History,18.8,25,48,24,3,0
University of Bristol,Classics,15,29,48,23,0,0
University of Bristol,Philosophy,14.5,31,51,17,1,0
University of Bristol,Theology and Religious Studies,8.6,21,45,32,2,0
University of Bristol,Art and Design: History Practice and Theory,8,11,52,35,2,0
